adj_day_of_year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
89,-0.3922427384000834,0.8163960530830001,0.7453219763467,-1.8214270466666667,-0.059198501524349995,-0.6363641971683334,0.2792711556783333,-0.641194340636455,-1.5821093016666667,1.7207715018333334,-0.26649244772683334,-1.2113521543748333,0.627036315402,0.9434626967249999,-0.6627709440126667,-0.672303021565,-0.7988145828008334,-0.7891877423566666,-1.985470293,0.05446302807026666,0.9780849569283334,-0.4726851662221667,0.31770940648126667,-0.7849754898878334,-0.2329439565513833,-0.7460716442633333,1.4246721688500001,1.8264611266666668,-0.8811418290686167,-0.610398679417,-1.9025914525,0.5779200101077667,0.282656517211,-1.6399962405,-1.01215872417,-0.22014073160783335,-1.4774875251666666,-0.9400548477466667,-0.7624591722706667,-1.9801831108333332,0.4480778938158334,-0.4582654948197,-0.9522810102206666,0.14056335219566,-0.292099753348,0.5995591408051667,0.3565268833031666,0.07889049655153334,-1.2602663954,0.15562598537006667,-0.32381123055416666,-1.0947840262733335,-0.19698157147533335,-1.16953104235,-1.0439532052906668,-0.25497902222650004,-0.161649865338,-0.9442336161516667,-1.3186509579999999,-0.44920428390850003,-1.3066885012838334,-0.8963358145333333,-1.0675326133066667,-1.4406212031166663,-0.25611419426933335,-1.6487251285,-0.38421568495333336,-0.9958675831378334,-0.40216470779728325,1.4483116929833335,-2.4736735401666667,-1.8928889471666668,-0.01759599184935,-0.9964317633891666,0.6661577486458333,-0.5789683192521665,-2.0229253876666666,-0.6457614551422001,-1.8267252158333334,-1.1446877362733334,-1.32163600986,-0.24697387798150003,-1.5244199380999999,0.3482179438437667,0.6182941666606833,0.4219409610314,-0.6876653479923334,-0.6215244911093,-1.4528922210666666
107,-0.26141027439750003,0.6188564613121667,1.0173778677,-1.5889077804999998,0.07369517417176666,-0.94846844542,0.5370344555615,-0.49022377804284994,-1.1662859343666667,1.5367553235000002,0.07922650976050001,-1.0855401279216668,0.5309736457433334,1.0306091592216666,-0.6272205347383333,-0.3577690488508333,-0.46395481721183324,-0.7816167321320001,-1.645328082,0.43118618124550007,1.0488720511366667,-0.11936039396691667,0.39117942481021667,-0.7420791887841667,0.10883412165435001,-0.48424906354266667,1.3082783705666667,1.0557691525,-1.03046539405,-0.7122691852045,-2.0779626955,0.8858453196916667,0.8764980239,-1.4768017991666669,-1.3548153638333336,0.10539549067571666,-1.3890531975,-0.49409804388945,-0.31633287582999664,-1.4798803564999998,0.35113367905483334,-0.18064074033128336,-0.7881431732716666,0.15290251698798335,0.12320560330688335,0.3725695500449833,0.7878135010883334,0.27975067711105,-1.0324371958649998,0.20702347853716666,-0.7239704977476666,-1.0683046032549999,-0.24670816356921668,-0.7899086826551666,-0.6650266801473333,0.0668610314855,0.09034211416416667,-1.0976096700166666,-1.1871136736666668,-0.569292510015,-1.1727504188,-0.6690182758721667,-0.9875013426833332,-1.2385553235,-0.21828520841628665,-1.2297764443333334,-0.07986019754178333,-1.0173972420966666,-0.5375387532581667,1.7783476186666667,-2.535627528333333,-1.2847039075,0.05948703047631666,-0.7705433628410001,0.5797574348448333,-0.22085000458300003,-1.7185158503333333,-0.4011325211566667,-1.6478671743333335,-0.7995092352316666,-1.1081061807500001,-0.262540548301,-0.892333661215,0.585954185868,0.9970634981805,0.6602593678365,-0.6025895521816667,-0.7817084801183333,-0.83409344333
108,-0.24786258913933334,0.6028914641118334,1.0457617261253334,-1.5693320353333335,0.09614827723466668,-0.952969424745,0.5640448283488333,-0.4647965438195166,-1.1469656762333333,1.5252254469999997,0.09705641984413334,-1.0667445775216666,0.542658979215,1.0292106827383334,-0.6178501872466666,-0.3352854166569833,-0.4324429105941667,-0.7726208379183332,-1.6182587526666665,0.4545172629388333,1.048468947945,-0.09485304020618332,0.41057118073873333,-0.7331281594156667,0.13417926510993333,-0.46728344359966667,1.2977124689833333,1.00307078712,-1.0255088372666668,-0.7086379714811349,-2.0816084913333337,0.9163451458099998,0.9201116009966667,-1.4573186986666666,-1.3698547178333331,0.1346034071526,-1.3780386653333334,-0.46745455087015,-0.28433824717486667,-1.4532110555,0.3544628557991667,-0.16228270076235002,-0.7726342906716667,0.16509346537706668,0.15557599845546669,0.3666634830575667,0.8188546265716665,0.3032769179179666,-1.014776759855,0.2132571429561,-0.7474776237616666,-1.056390140205,-0.24279678278916667,-0.7609906759163334,-0.6379349441303334,0.09452360118768001,0.10546906774831916,-1.1106194854166667,-1.170479742,-0.5649850401786666,-1.1564116620666667,-0.6500917383186667,-0.9692848990333333,-1.2114247758333334,-0.21095604815481167,-1.2046405699999998,-0.052023203929083335,-1.0176052500966666,-0.5348468779488333,1.8051828145,-2.529963793333333,-1.2537410188333336,0.07159812731146667,-0.7496345196013333,0.5742564135685,-0.20062185730439996,-1.6986915803333336,-0.3736664226617167,-1.6317729733333333,-0.7752675489333333,-1.0996747169666665,-0.256124993446,-0.8594118407833333,0.6085260637418334,1.0257785121833332,0.6919451613345,-0.5916884442708333,-0.7865894420015,-0.7896469014596833
112,-0.19031163567266665,0.5380513703163334,1.1687796576666667,-1.4889939796666665,0.2043772920468717,-0.9530033151166667,0.6801498019783333,-0.35153244947766665,-1.0798588969333334,1.4801613820000001,0.16249901537815,-0.98424052975,0.6070411072083334,1.0129118199333333,-0.5731813271828334,-0.250086545333,-0.30067959623578333,-0.7277921227376666,-1.5068650918333335,0.5413204868992999,1.0404232986383335,0.0013833920811666663,0.5009699571945,-0.6949245226933334,0.2355248795798333,-0.39958777654383326,1.25100304775,0.7974039694491667,-0.9920645901999999,-0.684909175135,-2.086845205,1.0444796827166667,1.0915110567333333,-1.3720135455,-1.4208544911666667,0.2548715147255,-1.3277442698333335,-0.3693900156428333,-0.15637504275121666,-1.35903746535,0.37641610597249997,-0.08869554536861667,-0.7054116503816668,0.22213314910021664,0.2808674873366833,0.34988698854100003,0.9448017665650001,0.40437989750099995,-0.9426256324600001,0.24111185945003336,-0.8336880571929999,-0.9991321527966667,-0.2204505787120667,-0.6466717124004999,-0.529742743013,0.2122988849168333,0.16476642973748334,-1.1627590930833334,-1.0973185401,-0.536536569285,-1.0856608166566668,-0.5721791833666667,-0.8841761498866667,-1.0916537343116668,-0.1799732193,-1.1133179908666666,0.06284036398924334,-1.0172832933896667,-0.5137473745025499,1.914394222333333,-2.494090625,-1.1468239575,0.12600443059883334,-0.6650161228026666,0.5503167408913,-0.12751470063346668,-1.621939575,-0.2536328448721,-1.567057328,-0.6783176530651283,-1.0743185529916666,-0.22339497977445,-0.7405957724566666,0.7026321407859999,1.1395920604016667,0.83358974008,-0.544248370675,-0.8025939784495667,-0.6141753343228668
118,-0.10164051014038333,0.44261727190466665,1.370806313,-1.3706032633333334,0.4140256287833333,-0.9006808507816666,0.86921952796,-0.16496970852791665,-1.01291620405,1.4185259604999998,0.23892879564986666,-0.8486115052833332,0.747271562231,0.95002704528,-0.4885769448841667,-0.15109858116748834,-0.0973042711245,-0.6382155540584167,-1.3409910379666667,0.6354583015966667,1.00575369158,0.12670723643571666,0.6674296891088334,-0.6340968818,0.3751389388730833,-0.30050127363533335,1.1697540843333334,0.5208501753356667,-0.9053714969066666,-0.6206292943136333,-2.065246053,1.23867817875,1.3161342517333334,-1.2300819385,-1.4635983475,0.42842254707533334,-1.2371947625,-0.25856847743443334,0.02039485181611333,-1.2672690145216667,0.43100856017950007,0.013821156646666666,-0.5943445945941667,0.3231296609343334,0.4354183626906667,0.34033799241193335,1.1303227046666668,0.5665832210148333,-0.8354329680216667,0.28808780778,-0.9236460991583334,-0.8926012731125,-0.163816644150115,-0.49180556171483325,-0.37333622025586327,0.39890170988366663,0.24728342615499999,-1.235558653,-0.973280127515,-0.46181700510355833,-0.9720246282833334,-0.45575011026356665,-0.7297174711066667,-0.8917330700783331,-0.13737967499363332,-1.0161534949833333,0.23788057174158334,-1.0112984128,-0.4543058791175,2.0659442031666666,-2.4007162366666663,-1.0483331719833333,0.21869164875475,-0.5489694973344833,0.5071752863415,-0.0490434706957,-1.5222467745000001,-0.05761818552359334,-1.475985968,-0.5416656213501833,-1.0631612611233332,-0.16161893257076668,-0.6102009763533334,0.8412628133016666,1.2933555138333332,1.0727296600666667,-0.4633818801208333,-0.8136751078798333,-0.3770431824391333
122,-0.047914707617945,0.38265851139298335,1.5069242738333333,-1.2994608531666667,0.572218574519,-0.8358474329033334,0.99823035766,-0.0462042659284,-0.9903061851333333,1.3832210768333335,0.2732475213964667,-0.7583831610768332,0.85919610519,0.8781697607116666,-0.4248928404929999,-0.11400493896073333,0.034569938622516665,-0.5686084554265,-1.2402685493333334,0.6607503529373333,0.9646934313650001,0.18580162471598335,0.79273470027,-0.5916689650378333,0.4495764930673334,-0.23691075835046665,1.1114509825499999,0.36594431633865,-0.8275833429666667,-0.5568631564263333,-2.0315448993333334,1.3556993737,1.4265558900333335,-1.1338108860833334,-1.4651421466666665,0.525098646714,-1.1713813893333334,-0.21396481187833336,0.11504986950666667,-1.2453255378333332,0.4778066966291334,0.06823207977888335,-0.5193056303801666,0.3928585647765167,0.5023675870140001,0.3389826411819167,1.2445260963333333,0.674043897408,-0.7691030392394334,0.31921271091646664,-0.9449546901166667,-0.8168669052963332,-0.10682828921015002,-0.4073087871677,-0.2744586919686334,0.5175086532863333,0.29567608498514997,-1.2776711903333333,-0.8855103959064999,-0.39209420292833336,-0.8988019372583333,-0.3838610620295,-0.6193182087013334,-0.756927439465,-0.11866019310963334,-0.98374833495,0.3532761134851667,-1.001297332653,-0.3992544057941334,2.1421949626666668,-2.31562351,-1.0262062380661667,0.2816833194621666,-0.48932762137400004,0.4732217239218333,-0.021022759266666663,-1.4717174608333334,0.06892668339016667,-1.4230356221666667,-0.4637620496891667,-1.0723750893666666,-0.12211335318018333,-0.558905375825,0.9193510655916666,1.374487888666667,1.2309077764999998,-0.4031189829106667,-0.8084858595189999,-0.24982480266638332
130,0.027914561740166665,0.2716714990699667,1.7504798631666667,-1.1893348551666667,0.8688611197048334,-0.6622001235816667,1.24868521845,0.13101748595374998,-0.9845934674533334,1.3298156394666667,0.3009598801460833,-0.5966325097165,1.0888042582500002,0.6591956620123333,-0.2964215526798334,-0.12015251478416666,0.27917666436088334,-0.42477972488500004,-1.08663506885,0.5914852744529999,0.8324495243260002,0.2149248599621,1.0623975148866667,-0.49233132137515,0.5268299944332666,-0.116360756682,1.00148601655,0.12381931716968332,-0.6373784272544499,-0.37296666923365,-1.9256880020000002,1.5256135905000001,1.5176761008333333,-0.9618792000783333,-1.3959300443333336,0.637629004995,-1.0463927104366666,-0.19093278923916668,0.21488601702920002,-1.2942202335,0.5855673645846283,0.11400672986083334,-0.3884478747045,0.5201350482186667,0.5339762903135,0.33064724228253334,1.4302979169999999,0.8729227413623333,-0.6604973806916667,0.36992202836044996,-0.869285806675,-0.6868038393116667,0.06564220627331667,-0.28979756295541664,-0.08183969963679333,0.6964567744063334,0.36859146406190335,-1.3492939063333333,-0.7091965949416665,-0.20995801183133336,-0.7786392338166667,-0.2667967432387333,-0.41629212835699997,-0.5157865760607616,-0.11735046899966668,-0.9903586427833334,0.5864486123508333,-0.9590973592999998,-0.2616059184921667,2.188025843,-2.1169167014999997,-1.0601363990333332,0.3936083726744667,-0.43261168023166663,0.39702063269776666,-0.019526592840945003,-1.419883711166667,0.26346962591785,-1.3364596916666667,-0.36016197732079996,-1.1160079315116667,-0.08460731653110001,-0.5356533966335001,1.0061311583333332,1.4662221216666664,1.4790229769999998,-0.2630592789726633,-0.7496219836533332,-0.09142212124721501
138,0.04768122341866666,0.16462893460216665,1.9142345561666667,-1.1258217287166667,1.0321383740683334,-0.4792372366815667,1.4780039438333332,0.18990393623416665,-1.0025454619633334,1.3019970046666667,0.27977331709334,-0.4691479845919166,1.2762499765,0.3609500010641667,-0.18930613424891665,-0.2118747310875667,0.5029016018455333,-0.3019023737352,-1.0177046945666666,0.35544568615416666,0.6323030871545,0.10521246803766666,1.3409436518333333,-0.3495617004161,0.4871732496356667,-0.007907735394016667,0.9300433996583334,-0.06782116252933167,-0.417301888541,-0.11421963166983333,-1.7899758608333332,1.5853451966666667,1.4302280605000002,-0.8484816897849999,-1.2347503068333332,0.6224722966016667,-0.9616968126333334,-0.22256112125298333,0.17283997207038332,-1.4313875698333334,0.7028991382104335,0.042413597145166675,-0.31328975484283333,0.6246369078116834,0.4595728028318333,0.2971840060322067,1.5374376465,1.0472278836,-0.5965533030603333,0.3952166153930499,-0.6342443267141666,-0.6284491636619833,0.320296713384385,-0.22280573400783332,0.12422454574808334,0.7417825342333334,0.3968530936245,-1.4245770311666668,-0.5447918996591666,0.017635622168883335,-0.7111076132366667,-0.19752972545191666,-0.28144559091728333,-0.3394639066685834,-0.15789518315345,-1.0456029737166668,0.8439305188451666,-0.8804418540171667,-0.0998350589901155,2.052556910666667,-1.9367731915000002,-1.1181512456733333,0.4706749671608333,-0.4608074883464833,0.32562559748333336,-0.06569552927381667,-1.4362577379999997,0.32347114725183335,-1.2619504876666667,-0.34794187138349997,-1.1605784162,-0.14760771678296666,-0.5878124326878332,0.9723709291333335,1.4599369879999997,1.5566773388333335,-0.0907705975356,-0.60098035468075,-0.053265875453183335
148,0.005631443355063334,0.02516942284616667,1.9541241045,-1.0845654254,0.9252824828149999,-0.30699682564236663,1.7149947866666668,0.120889362086,-1.0198145943933334,1.3065490876666666,0.20188804995754853,-0.34171061932971664,1.4047012803333334,-0.029712972566599997,-0.11220967352333332,-0.3536545270552167,0.7704754518849999,-0.2081222637732667,-1.0466657020666668,-0.0930162665314,0.31545108399992167,-0.19260836131279999,1.6649119025,-0.08760919457104999,0.28431814517953335,0.09099594783748334,0.9335010014383334,-0.31464895344848337,-0.12830890062003333,0.2733335217848167,-1.6267571563333334,1.5187473765000001,1.15301477485,-0.8160047449816666,-0.9518697470033334,0.46593853010200004,-0.9508216318466668,-0.2610899175916167,-0.043372145541633336,-1.6262841011666667,0.8515869796483333,-0.21248103406080002,-0.3257830684599,0.75083401851,0.3491381219190166,0.22213114810903334,1.5460216148333332,1.2456194453833334,-0.5891985572178334,0.39181045200931663,-0.1972555305005,-0.6921149911710001,0.7049126775798334,-0.15163770175903332,0.4120428006457167,0.5773007738735,0.35502356016733333,-1.5612308265,-0.37610192697449996,0.3285685068625,-0.6996304330933334,-0.18852723180481668,-0.244494769484,-0.20986251000293335,-0.20967401761475496,-1.0726076217333333,1.2140017387333335,-0.7367975138649999,0.11177918870636668,1.6575352996666668,-1.8343801113333333,-1.0771934135149999,0.5043659083425001,-0.5719791083850501,0.28286579668468337,-0.13372791923566668,-1.5295682736666667,0.18131939995056667,-1.15279449502,-0.4709833941256667,-1.1612749943333334,-0.379934731348,-0.6957059210968334,0.7839325775836666,1.3485197273333334,1.3673208068333333,0.1591110989343333,-0.28420355162478333,-0.09903934356783332
158,-0.05995587444583333,-0.10489064363533335,1.7894614476666666,-1.0280756003633333,0.5353615975165333,-0.21556592358998333,1.8402844264999998,0.019466074427116665,-1.034950547665,1.3528201478333333,0.08987106765806666,-0.212928267193,1.429234549166667,-0.29745679218598337,-0.10217266848385001,-0.4162502484668333,1.0028091452516668,-0.17891316586563336,-1.1429588452000001,-0.52572872984095,-0.0006843188568899994,-0.5450994998416333,1.8811004420000002,0.22065918518591596,-0.01350510338116667,0.11257772705566667,1.0274903546,-0.5786649212768332,0.13009858565416668,0.6316921586850001,-1.5176679309999999,1.3640152793333333,0.85613443775,-0.87617417838,-0.6772411012331666,0.2813956106589667,-1.0357046493166668,-0.24633922143689999,-0.313974398775,-1.7500889061666667,0.9688263469966666,-0.5453138588266667,-0.4325098981599333,0.9197623793166667,0.37391104132846664,0.1599956102206,1.4400521654999998,1.4310114478333331,-0.6506742584233334,0.368792718292,0.22178663950046668,-0.8654866635199999,1.0348998657583333,-0.048206252013218334,0.6697855913231666,0.2515004231803,0.24551248582899998,-1.7295222278333333,-0.2707969324365,0.6027184548050001,-0.72945457077025,-0.26137483110331666,-0.3181418407261,-0.14145865120848333,-0.18803796641373832,-0.9898518752833334,1.5681449381666668,-0.5717059159745,0.29664978244463336,1.1759487093183334,-1.9057950768333334,-0.8609119834781667,0.4556247208052667,-0.7009067451183334,0.3273693461118333,-0.17477647820193004,-1.6486763998333336,-0.11090536834883336,-1.0050721587583333,-0.706808957045,-1.0700352743833335,-0.6758076488501666,-0.8063008406366667,0.5508409630478049,1.1871794713333335,0.9746543319000001,0.39591631866095,0.09802493341811667,-0.15018125886688136
